circuit,No. of cells,No. of I/O ports,No. of nets,Area,Power_leakage(nW),Power_Internal,Power_Nets,Power_dynamic(Switching)(nW),Power_total(nW)
gray_to_binary,3,8,7,24.978,217.628,1030.81,201.23,1232.049,1449.678
comparator_4bit,15,11,23,68.878,280.96,1304.48,578.18,1882.659,2163.619
parity_generator,11,10,19,58.281,362.083,2632.56,820.12,3452.681,3814.764
kogge_stone_adder_4bit,16,14,25,92.342,524.985,2457.39,914.2,3371.591,3896.576
carry_lookahead_adder_4bit,16,14,25,94.613,570.489,2601.6,901.55,3503.152,4073.641
carry_save_adder_4bit,4,20,20,78.718,268.164,1464.86,600.75,2065.61,2333.774
manchester_carry_chain_adder_4bit,10,14,21,86.287,452.683,2388.68,749.25,3137.929,3590.612
ladner_fischer_adder_4bit,20,14,29,107.48,597.182,2627.81,1065.45,3693.254,4290.436
sklansky_adder_4bit,20,14,29,107.48,597.182,2627.81,1065.45,3693.254,4290.436
hybrid_adder_16bit,40,50,53,345.146,1827.763,10981.69,3376.48,14358.17,16185.934
mux_4to1,1,7,7,18.166,78.364,213.73,127.41,341.138,419.502
mux_8to1,3,12,14,42.386,217.26,414.82,325.9,740.715,957.97
mux_2to1,1,4,4,6.812,54.182,187.37,60.75,247.117,301.3
mux_16to1,22,21,42,106.723,357.641,1887.29,1083.16,2970.456,3328.097
unsigned_multiplier,52,16,64,270.97,1352.221,6959.24,2940.26,9899.502,11251.723
signed_multiplie,49,16,63,280.053,1327.846,6602.27,2925.28,9527.554,10855.4
booth_multiplier,118,16,126,519.99,1411.485,6767.57,4549.5,11317.071,12728.556
comparator_2bit,7,7,11,32.547,148.306,684.73,246.37,931.11,931.11
mealy_fsm,8,4,12,68.121,353.31,1468.16,340.26,1808.407,2161.717
simple_alu,45,14,55,195.28,636.789,3670.78,1854.77,5525.549,6162.338
glitch_free_decoder,11,8,15,141.54,684.247,2678.7,518.91,3197.604,3881.851
pla,6,6,10,30.276,91.814,538.76,260.3,799.055,890.869
bcd_to_7segment,17,11,21,75.69,234.7,1201.91,673.1,1875.007,2109.708
ripple_carry_adder_4bit,4,14,17,78.718,337.905,2165.34,642.09,2807.435,3145.34
han_carlson_adder_4bit,16,14,25,92.342,524.985,2457.39,914.2,3371.591,3896.576
combinational_multiplier_4x4,35,16,45,165.004,705.885,3639.2,1701.21,5340.407,6046.292
vedic_multiplier_4x4,21,16,31,105.209,520.553,2328.62,987.61,3316.232,3836.785
half_subtractor,3,4,6,16.652,104.476,293.92,106.31,400.229,504.705
full_subtractor,3,5,7,24.221,84.555,440.1,200.81,640.915,725.47
half_adder,1,4,4,12.11,86.962,209.41,69.19,278.599,365.561
full_adder,1,5,5,19.679,67.041,327.95,150.19,478.141,545.182
demux_1to2,2,4,4,9.083,41.288,142.12,58.22,200.343,241.631
demux_1to4,6,7,9,22.707,96.028,295.69,169.59,465.287,561.316
demux_1to8,15,12,19,55.254,225.686,649.44,381.37,1030.81,1256.496
demux_1to16,33,21,38,105.209,417.399,958.1,739.55,1697.651,2115.05
encoder_4to2,5,6,9,29.519,134.751,421.8,201.02,622.824,757.575
encoder_8to3,20,11,28,94.612,401.377,671.23,566.79,1238.017,1639.394
encoder_16to4,44,20,60,224.799,824.77,839.89,1166.06,2006.046,2830.816
decoder_2to4,6,7,9,22.707,96.028,301.76,169.59,471.357,567.385
decoder_3to8,15,12,19,55.254,261.092,630.82,389.39,1020.212,1281.304
decoder_4to16,33,21,38,105.209,417.399,978.52,746.72,1725.236,2142.635
ALU_4bit,74,16,85,328.495,1200.042,7025.6,3257.51,10283.105,11483.147
ALU_8bit,556,29,304,3196.389,13017.566,75852.12,36003.87,111855.989,124873.554
ALU_16bit,1472,53,425,11464.764,49642.399,362630.22,160082.57,522712.787,572355.186
priority_encoder_8to3,12,12,20,49.199,228.785,476.79,384.12,860.906,1089.69
parity_checker,13,11,22,65.85,380.101,3083.93,1112.27,4196.205,4576.305
SRAM_6T,76,20,88,965.804,5599.797,28839.71,4149.14,32988.847,38588.643
SRAM_8T,72,21,85,876.49,5074.136,26567.46,4544.43,31111.696,36185.832
SRAM_10T,72,21,85,876.49,5074.136,26567.47,4544.23,31111.696,36185.832
DRAM_1T1C,83,21,96,921.904,5291.516,26604.35,3963.3,30567.656,35859.172
ROM_16x8,104,12,236,573.73,1355.141,964.92,1520.02,2484.932,3840.073
OA21,1,4,4,6.812,28.661,60.86,41.34,102.207,130.869
OA22,1,5,5,7.569,42.594,144.81,58.69,200.501,243.095
OA31,2,5,6,8.326,18.282,130.41,76.78,207.188,225.47
OA32,2,6,7,9.083,20.918,212.36,93.66,306.011,326.93
OA33,2,7,8,10.597,22.212,306.68,112.22,418.9,441.113
OA41,2,6,7,10.597,30.573,160.29,72.77,233.059,263.632
OA42,2,7,7,12.11,44.391,183.71,88.8,272.519,316.91
OA43,3,8,10,13.624,39.915,205,111.59,316.586,356.502
OA44,3,9,11,15.138,40.256,241.19,123.82,365.009,405.265
reg8bit ,9,18,19,165.761,812.373,3844.12,560.25,4404.374,5216.747
reg16bit,17,34,35,329.251,1615.989,7198.94,1107,8305.941,9921.93
reg32bit,33,66,67,656.232,3223.221,14626.94,2195.65,16822.59,20045.811
reg64bit,65,110,131,1310.194,6437.685,29010.53,4385.07,33395.602,39833.287
